Jurusan;"

Jenis transportasi apa yang Anda gunakan untuk ke kampus? ";Selama menggunakan fasilitas parkir di Binus, permasalahan apa yang sering Anda jumpai?;"Menurut Anda fasilitas parkir di Binus Malang sudah aman?
";Dengan fasilitas yang sudah tersedia, apakah biaya parkir di Binus mahal?;Seberapa puas Anda dengan fasilitas parkir di Binus Malang?;" Diantara fasilitas di bawah,  mana yang paling sering anda gunakan?
";Kenapa anda lebih memilih fasilitas tersebut?;"Seberapa puas anda dengan fasilitas tangga/lift di Binus Malang?

";Ketika di kampus, apakah anda lebih sering beli makanan di dalam (kantin binus) atau diluar kampus?;Kenapa memilih pilihan di atas?;Seberapa puas anda dengan fasilitas kantin Binus Malang;Apakah anda sering menggunakan fasilitas discussion room (arjuno)?;"Selama menggunakan fasilitas discussion room, permasalahan apa yang sering anda
jumpai?";Seberapa puas anda dengan fasilitas discussion room?;Apakah wifi di Binus sudah cepat dan stabil?;Seberapa puas Anda dengan fasilitas internet di Binus Malang?;Apakah kapasitas toilet di Binus Malang sudah memadai?;Apakah toilet di Binus Malang sudah bersih?;Seberapa puas Anda dengan fasilitas toilet di Binus Malang?;Seberapa puas anda dengan seluruh fasilitas Binus Malang?
Computer Science;Motor pribadi;Antri keluar masuk;Aman;Iya;3;Tangga Biasa;Tidak mau menunggu/antri;3;Di dalam kampus;Lebih banyak variasi, Lebih dekat;5;Tidak;Ketersediaan jam yang bisa di booking kurang;4;Belum;3;Sudah;Sudah;5;4
Computer Science;Motor pribadi;Antri keluar masuk, bayar nya mahal;Aman;Iya;2;Lift;Lebih cepat;5;Di luar kampus;Lebih banyak variasi, Lebih murah;4;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang;6;Belum;4;Sudah;Sudah;6;4
Computer Science;Motor pribadi;Parkir penuh, Tempatnya terbuka;Aman;Iya;3;Lift;Lebih nyaman digunakan;5;Di dalam kampus;Lebih dekat, simple;4;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Discussion room yang di booking tapi tidak digunakan;4;Belum;3;Sudah;Sudah;4;4
Computer Science;Motor pribadi;Parkir penuh, Antri keluar masuk;Aman;Tidak;2;Tangga Darurat;Lebih cepat;3;Di dalam kampus;Kebersihan, Lebih dekat;5;Ya;Ketersediaan jam yang bisa di booking kurang;4;Sudah;5;Sudah;Sudah;5;4
Computer Science;Motor pribadi;Parkir penuh, Tempatnya terbuka;Tidak Aman;Tidak;1;Tangga Darurat;Lebih cepat;3;Di luar kampus;Lebih banyak variasi, Tidak antri;4;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang;6;Belum;1;Sudah;Sudah;4;4
Computer Science;Motor pribadi;Antri keluar masuk;Aman;Tidak;5;Lift;Lebih cepat;6;Di luar kampus;Lebih murah, Tidak antri;5;Ya;Ketersediaan jam yang bisa di booking kurang;5;Sudah;4;Sudah;Sudah;6;5
Computer Science;Motor pribadi;Antri keluar masuk;Aman;Tidak;4;Tangga Biasa;Tidak mau menunggu/antri;5;Di dalam kampus;Kebersihan, Lebih dekat;5;Ya;Tidak ada fitur bisa di cancel;5;Sudah;4;Sudah;Sudah;6;5
Computer Science;Ojek;Antri keluar masuk;Aman;Tidak;5;Tangga Biasa;Tidak mau menunggu/antri;4;Di luar kampus;Lebih banyak variasi, Lebih murah, Tidak antri;5;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang;5;Belum;2;Sudah;Sudah;5;5
Computer Science;Ojek;Tempatnya terbuka;Tidak Aman;Tidak;5;Tangga Darurat;Tidak mau menunggu/antri;4;Di luar kampus;Lebih banyak variasi, Lebih murah;4;Ya;Jumlahnya ruangan sedikit, Discussion room yang di booking tapi tidak digunakan, Ukuran terlalu kecil;6;Belum;4;Belum;Sudah;4;4
Computer Science;Motor pribadi;Parkir penuh, Tempatnya terbuka;Aman;Iya;2;Tangga Darurat;Lebih cepat;5;Di luar kampus;Kebersihan, Lebih murah, Membawa masakan dari rumah;4;Ya;Jumlahnya ruangan sedikit, Ketersediaan jam yang bisa di booking kurang, Durasi booking discussion terlalu pendek;4;Belum;2;Sudah;Sudah;3;4
